"slug","destination","floor_tier","stage","source"
"usa/north-carolina/raleigh/glenwood-south","Glenwood South, Raleigh, North Carolina, USA","mid","1","priority_csv"
"usa/north-carolina/raleigh/north-hills","North Hills, Raleigh, North Carolina, USA","mid","1","priority_csv"
"usa/ohio/cincinnati/downtown-cincinnati","Downtown, Cincinnati, Ohio, USA","high","1","priority_csv"
"usa/ohio/cincinnati/over-the-rhine","Over-the-Rhine, Cincinnati, Ohio, USA","mid","1","priority_csv"
"usa/ohio/cleveland/downtown-cleveland","Downtown, Cleveland, Ohio, USA","high","1","priority_csv"
"usa/ohio/cleveland/ohio-city","Ohio City, Cleveland, Ohio, USA","mid","1","priority_csv"
"usa/ohio/columbus/downtown-columbus","Downtown Columbus, Columbus, Ohio, USA","high","1","priority_csv"
"usa/ohio/toledo/downtown-toledo","Downtown, Toledo, Ohio, USA","mid","1","priority_csv"
"usa/oklahoma/oklahoma-city/downtown-oklahoma-city","Downtown, Oklahoma City, Oklahoma, USA","high","1","priority_csv"
"usa/oklahoma/tulsa/downtown-tulsa","Downtown Tulsa, Tulsa, Oklahoma, USA","high","1","priority_csv"
"usa/oregon/eugene/downtown-eugene","Downtown Eugene, Eugene, Oregon, USA","mid","1","priority_csv"
"usa/oregon/portland/downtown-portland","Downtown, Portland, Oregon, USA","high","1","priority_csv"
"usa/oregon/portland/nob-hill","Nob Hill, Portland, Oregon, USA","mid","1","priority_csv"
"usa/oregon/portland/old-town-chinatown","Old Town Chinatown, Portland, Oregon, USA","mid","1","priority_csv"
"usa/oregon/portland/pearl-district","Pearl District, Portland, Oregon, USA","high","1","priority_csv"
"usa/pennsylvania/philadelphia/center-city","Center City, Philadelphia, Pennsylvania, USA","high","1","priority_csv"
"usa/pennsylvania/philadelphia/old-city","Old City, Philadelphia, Pennsylvania, USA","mid","1","priority_csv"
"usa/pennsylvania/philadelphia/washington-square-west","Washington Square West, Philadelphia, Pennsylvania, USA","mid","1","priority_csv"
"usa/pennsylvania/pittsburgh/downtown-pittsburgh","Downtown, Pittsburgh, Pennsylvania, USA","high","1","priority_csv"
"usa/pennsylvania/pittsburgh/strip-district","Strip District, Pittsburgh, Pennsylvania, USA","mid","1","priority_csv"
"usa/south-dakota/sioux-falls/downtown","Downtown Sioux Falls, Sioux Falls, South Dakota, USA","mid","1","priority_csv"
"usa/tennessee/memphis/downtown-memphis","Downtown, Memphis, Tennessee, USA","mid","1","priority_csv"
"usa/tennessee/nashville/downtown-nashville","Downtown, Nashville, Tennessee, USA","high","1","priority_csv"
"usa/tennessee/nashville/midtown","Midtown, Nashville, Tennessee, USA","mid","1","priority_csv"
"usa/tennessee/nashville/the-gulch","The Gulch, Nashville, Tennessee, USA","high","1","priority_csv"
"usa/texas/austin/downtown-austin","Downtown Austin, Austin, Texas, USA","high","1","priority_csv"
"usa/texas/austin/rainey-street-historic-district","Rainey Street, Austin, Texas, USA","high","1","priority_csv"
"usa/texas/dallas/dallas-design-district","Design District, Dallas, Texas, USA","mid","1","priority_csv"
"usa/texas/dallas/deep-ellum","Deep Ellum, Dallas, Texas, USA","mid","1","priority_csv"
"usa/texas/dallas/downtown-dallas","Downtown Dallas, Dallas, Texas, USA","high","1","priority_csv"
"usa/texas/dallas/oak-lawn","Oak Lawn, Dallas, Texas, USA","mid","1","priority_csv"
"usa/texas/dallas/uptown","Uptown, Dallas, Texas, USA","high","1","priority_csv"
"usa/texas/el-paso/downtown-el-paso","Downtown, El Paso, Texas, USA","mid","1","priority_csv"
"usa/texas/fort-worth/fort-worth-cultural-district","Cultural District, Fort Worth, Texas, USA","mid","1","priority_csv"
"usa/texas/houston/downtown-houston","Downtown, Houston, Texas, USA","high","1","priority_csv"
"usa/texas/houston/midtown","Midtown, Houston, Texas, USA","mid","1","priority_csv"
"usa/texas/houston/uptown","Uptown, Houston, Texas, USA","high","1","priority_csv"
"usa/texas/san-antonio/downtown-san-antonio","Downtown, San Antonio, Texas, USA","mid","1","priority_csv"
"usa/utah/salt-lake-city/downtown-salt-lake-city","Downtown Salt Lake City, Salt Lake City, Utah, USA","high","1","priority_csv"
"usa/virginia/richmond/fan-district","The Fan, Richmond, Virginia, USA","mid","1","priority_csv"
"usa/washington/seattle/ballard","Ballard, Seattle, Washington, USA","mid","1","priority_csv"
"usa/washington/seattle/belltown","Belltown, Seattle, Washington, USA","high","1","priority_csv"
"usa/washington/seattle/capitol-hill","Capitol Hill, Seattle, Washington, USA","mid","1","priority_csv"
"usa/washington/seattle/downtown-seattle","Downtown, Seattle, Washington, USA","high","1","priority_csv"
"usa/washington/seattle/pioneer-square","Pioneer Square, Seattle, Washington, USA","mid","1","priority_csv"
"usa/washington/seattle/south-lake-union","South Lake Union, Seattle, Washington, USA","high","1","priority_csv"
"usa/wisconsin/milwaukee/historic-third-ward","Third Ward, Milwaukee, Wisconsin, USA","high","1","priority_csv"
"usa/wisconsin/milwaukee/lower-east-side","East Side, Milwaukee, Wisconsin, USA","mid","1","priority_csv"
"argentina/buenos-aires/belgrano","Belgrano, Buenos Aires, Argentina","high","2","priority_csv"
"argentina/buenos-aires/colegiales","Colegiales, Buenos Aires, Argentina","mid","2","priority_csv"
"argentina/buenos-aires/las-canitas","Las Canitas, Buenos Aires, Argentina","mid","2","priority_csv"
"argentina/buenos-aires/microcentro","Microcentro, Buenos Aires, Argentina","high","2","priority_csv"
"argentina/buenos-aires/palermo","Palermo, Buenos Aires, Argentina","mid","2","priority_csv"
"argentina/buenos-aires/puerto-madero","Puerto Madero, Buenos Aires, Argentina","high","2","priority_csv"
"argentina/buenos-aires/recoleta","Recoleta, Buenos Aires, Argentina","mid","2","priority_csv"
"argentina/buenos-aires/retiro","Retiro, Buenos Aires, Argentina","mid","2","priority_csv"
"australia/new-south-wales/pyrmont","Pyrmont, Sydney, Australia","mid","2","priority_csv"
"australia/new-south-wales/sydney/parramatta-cbd","CBD, Sydney, Australia","high","2","priority_csv"
"australia/new-south-wales/sydney/potts-point","Potts Point, Sydney, Australia","mid","2","priority_csv"
"australia/new-south-wales/wollongong-cbd","Wollongong CBD, Wollongong, Australia","high","2","priority_csv"
"australia/queensland/brisbane/fortitude-valley","Fortitude Valley, Brisbane, Australia","mid","2","priority_csv"
"australia/queensland/brisbane/newstead","Newstead, Brisbane, Australia","mid","2","priority_csv"
"australia/queensland/brisbane/south-brisbane","South Brisbane, Brisbane, Australia","mid","2","priority_csv"
"australia/victoria/docklands","Docklands, Melbourne, Australia","high","2","priority_csv"
"australia/victoria/south-yarra","South Yarra, Melbourne, Australia","mid","2","priority_csv"
"australia/victoria/southbank","Southbank, Melbourne, Australia","high","2","priority_csv"
"australia/victoria/st-kilda","St Kilda, Melbourne, Australia","mid","2","priority_csv"
"brazil/central-west-region/goiania/jardim-goias","Jardim Goias, Goiania, Brazil","high","2","priority_csv"
"brazil/north-region/ananindeua/centro","Centro, Ananindeua, Brazil","mid","2","priority_csv"
"brazil/north-region/belem/umarizal","Umarizal, Belem, Brazil","high","2","priority_csv"
"brazil/north-region/boa-vista/centro","Centro, Boa Vista, Brazil","mid","2","priority_csv"
"brazil/north-region/manaus/centro","Centro, Manaus, Brazil","mid","2","priority_csv"
"brazil/northeast-region/aracaju/centro","Centro, Aracaju, Brazil","mid","2","priority_csv"
"brazil/northeast-region/aracaju/jardins","Jardins, Aracaju, Brazil","high","2","priority_csv"
"brazil/northeast-region/campina-grande/centro","Centro, Campina Grande, Brazil","mid","2","priority_csv"
"brazil/northeast-region/caucaia/centro","Centro, Caucaia, Brazil","mid","2","priority_csv"
"brazil/northeast-region/fortaleza/centro","Centro, Fortaleza, Brazil","mid","2","priority_csv"
"brazil/northeast-region/joao-pessoa/centro","Centro, Joao Pessoa, Brazil","mid","2","priority_csv"
"brazil/northeast-region/teresina/centro","Centro, Teresina, Brazil","mid","2","priority_csv"
"brazil/northeast-region/vitoria-da-conquista/centro","Centro, Vitoria da Conquista, Brazil","mid","2","priority_csv"
"brazil/south-region/balneario-camboriu/centro","Centro, Balneario Camboriu, Brazil","mid","2","priority_csv"
"brazil/south-region/blumenau/centro","Centro, Blumenau, Brazil","mid","2","priority_csv"
"brazil/south-region/canoas/centro","Centro, Canoas, Brazil","mid","2","priority_csv"
"brazil/south-region/cascavel/centro","Centro, Cascavel, Brazil","mid","2","priority_csv"
"brazil/south-region/caxias-do-sul/centro","Centro, Caxias do Sul, Brazil","mid","2","priority_csv"
"brazil/south-region/florianopolis/centro","Centro, Florianopolis, Brazil","mid","2","priority_csv"
"brazil/south-region/itajai/centro","Centro, Itajai, Brazil","mid","2","priority_csv"
"brazil/south-region/joinville/centro","Centro, Joinville, Brazil","mid","2","priority_csv"
"brazil/south-region/londrina/centro","Centro, Londrina, Brazil","mid","2","priority_csv"
"brazil/south-region/novo-hamburgo/centro","Centro, Novo Hamburgo, Brazil","mid","2","priority_csv"
"brazil/south-region/santa-maria/centro","Centro, Santa Maria, Brazil","mid","2","priority_csv"
"brazil/south-region/sao-jose-dos-pinhais/centro","Centro, Sao Jose dos Pinhais, Brazil","mid","2","priority_csv"
"brazil/southeast-region/belo-horizonte/centro","Centro, Belo Horizonte, Brazil","mid","2","priority_csv"
"brazil/southeast-region/betim/centro","Centro, Betim, Brazil","mid","2","priority_csv"
"brazil/southeast-region/diadema/centro","Centro, Diadema, Brazil","mid","2","priority_csv"
"brazil/southeast-region/governador-valadares/centro","Centro, Governador Valadares, Brazil","mid","2","priority_csv"
"brazil/southeast-region/guarapari/centro","Centro, Guarapari, Brazil","mid","2","priority_csv"
"brazil/southeast-region/juiz-de-fora/centro","Centro, Juiz de Fora, Brazil","mid","2","priority_csv"
"brazil/southeast-region/mogi-das-cruzes/centro","Centro, Mogi das Cruzes, Brazil","mid","2","priority_csv"
"brazil/southeast-region/montes-claros/centro","Centro, Montes Claros, Brazil","mid","2","priority_csv"
"brazil/southeast-region/niteroi/centro","Centro, Niteroi, Brazil","mid","2","priority_csv"
"brazil/southeast-region/nova-iguacu/centro","Centro, Nova Iguacu, Brazil","mid","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/centro","Centro, Rio de Janeiro, Brazil","mid","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/copacabana","Copacabana, Rio de Janeiro, Brazil","high","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/gavea","Gavea, Rio de Janeiro, Brazil","mid","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/ipanema","Ipanema, Rio de Janeiro, Brazil","high","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/lagoa","Lagoa, Rio de Janeiro, Brazil","high","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/leblon","Leblon, Rio de Janeiro, Brazil","high","2","priority_csv"
"brazil/southeast-region/rio-de-janeiro/leme","Leme, Rio de Janeiro, Brazil","high","2","priority_csv"
"brazil/southeast-region/sao-bernardo-do-campo/centro","Centro, Sao Bernardo do Campo, Brazil","mid","2","priority_csv"
"brazil/southeast-region/sao-paulo/higienopolis","Higienopolis, Sao Paulo, Brazil","high","2","priority_csv"
"brazil/southeast-region/sao-paulo/itaim-bibi","Itaim Bibi, Sao Paulo, Brazil","high","2","priority_csv"
"brazil/southeast-region/sao-paulo/jardim-paulista","Paulista, Sao Paulo, Brazil","high","2","priority_csv"
